id	x	y	inslope	inaccel	expression			outslope	outaccel
1	1	0.0	0	0	cubic()	0	0		
1	61.0	0.0	0	0	cubic()	0	0		
1	121.0	0.0	0	0	cubic()	0	0		
1	181.0	0.0	0	0	cubic()	0	0		
2	1	0.0	0	0	cubic()	0	0		
2	61.0	0.0	0	0	cubic()	0	0		
2	121.0	0.0	0	0	cubic()	0	0		
2	181.0	0.0	0	0	cubic()	0	0		
3	1	0.0	0	0	cubic()	0	0		
3	61.0	0.0	0	0	cubic()	0	0		
3	121.0	0.0	0	0	cubic()	0	0		
3	181.0	0.0	0	0	cubic()	0	0		
4	1	0.42	0	0	cubic()	0	0		
4	61.0	1.05	0	0	cubic()	0	0		
4	121.0	1.46	0	0	cubic()	0	0		
4	181.0	1.46	0	0	cubic()	0	0		
5	1	-6.67	0	0	cubic()	0	0		
5	61.0	-11.43	0	0	cubic()	0	0		
5	121.0	-13.49	0	0	cubic()	0	0		
5	181.0	-13.49	0	0	cubic()	0	0		
6	1	2.6	0	0	cubic()	0	0		
6	61.0	2.63	0	0	cubic()	0	0		
6	121.0	1.6	0	0	cubic()	0	0		
6	181.0	1.6	0	0	cubic()	0	0		
7	1	-7.06	0	0	cubic()	0	0		
7	61.0	4.35	0	0	cubic()	0	0		
7	121.0	-24.44	0	0	cubic()	0	0		
7	181.0	-24.44	0	0	cubic()	0	0		
8	1	0.0	0	0	cubic()	0	0		
8	61.0	0.0	0	0	cubic()	0	0		
8	121.0	0.0	0	0	cubic()	0	0		
8	181.0	0.0	0	0	cubic()	0	0		
9	1	33.55	0	0	cubic()	0	0		
9	61.0	21.97	0	0	cubic()	0	0		
9	121.0	64.16	0	0	cubic()	0	0		
9	181.0	64.16	0	0	cubic()	0	0		
10	1	0.0	0	0	cubic()	0	0		
10	61.0	0.0	0	0	cubic()	0	0		
10	121.0	0.0	0	0	cubic()	0	0		
10	181.0	0.0	0	0	cubic()	0	0		
11	1	32.0	0	0	cubic()	0	0		
11	61.0	32.0	0	0	cubic()	0	0		
11	121.0	32.0	0	0	cubic()	0	0		
11	181.0	32.0	0	0	cubic()	0	0		
